"name","institution"
"Abáigar Pedraza","General University Hospital of Alicante"
"Paul Lowry","The University of Hong Kong"
"A. Vinodan","School of Management Studies Cochin University of Science and Technology, Kochi, Kerala, India"
"Valentina Stasio","University of Oxford"
"Shantanu Debnath","Department of Production Engineering, National Institute of Technology Agartala, Tripura 799046, India"
"MB Sruthimol","NIMHANS, Bangalore, India"
"Tiago Correia","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal"
"Ahmad Thuraya Kaadan","Graduate School of Informatics Department of Social, Informatics Nagoya University, Nagoya, Japan"
"Okoh Ufuoma","Apex Academy"
"Corine Buers","Utrecht University School of Governance"
"Merrill Warkentin","Mississippi State University"
"Bernice Elgera","Institute for Biomedical Ethics, University of Basel, Switzerland"
"Stephanie Thompson","University of Alberta"
"Debby Vos","Department of Political Science, University of Antwerp"
"Viegas , Rocío","Rocío Universitat Jaume"
"Young Jeong Na","Massachusetts General Hospital"
"Tsair-Wei Chien","Department of Hospital and Health Care Administration, Chia-Nan University of Pharmacy and Science, Tainan, Taiwan"
"Christopher DeLuca","Faculty of Education, Queen’s University , Kingston, Canada"
"Anthony Faustine","Cornell University"
"Juan Carlos Sierra","Mind, Brain, and Behavior Research Center (CIMCYC), Universidad de Granada, Spain"
"Flavia Fossati","Malmö Institute for Studies of Migration, Diversity and Welfare (MIM)"
"AI Lala","“Robert PAX” Hospital Center, Sarreguemines, France"
"Francesca Bruno","Alma Mater Studiorum University"
"Allen Johnston","University of Alabama"
"Inbal Nahum-Shani","Institute for Social Research, The University of Michigan"
"Lilin Xiong","Nanjing Municipal Center for Disease Control and Prevention"
"Mirko Antino","Instituto Universitário de Lisboa"
"FAN YANG","The University of Hong Kong, China."
"Deirdre J. Lyell","Department of Obstetrics and Gynecology, Stanford University, Palo Alto, California"
"Madeline Stenger","Northern Arizona University"
"Alka Agnihotri","International Conference on Infocom Technologies and Unmanned Systems, Amity University"
"Shuen Tsai","Nat. Cheng Kung Univ"
"Robert Costigan","St. John Fisher College"
"Michael Parchman","Group Health Research Institute"
"Celene Reynolds","Yale University"
"WimVan Biesen","Ghent University Hospital"
"Hermann Dülmer","1Institute of Sociology and Social Psychology, University of Cologne"
"Simon Willcock","University of Southampton"
"Christopher Blattman","Columbia University SIPA, 420 W 118th St., New York, NY, United States"
"N Toomanian","Pedodiversity"
